transaction_id,merchant_id,customer_id,timestamp,amount,payment_method,device,location,account_age_days,transaction_frequency,previous_fraud_count,new_device,location_distance_km,is_fraud,hour,day_of_week,is_weekend,fraud_probability,risk_score,risk_level,risk_reasons,recommended_action
TXN000021,M0150,C002347,2026-01-01 03:20:00,652.48,Credit Card,Mobile,Pune,787,3,0,0,41.94,0,3,3,0,0.22065107844704382,22.07,Low Risk,No major suspicious indicators detected,Approve
TXN000022,M0309,C003532,2026-01-01 03:30:00,225.92,Credit Card,Desktop,Hyderabad,72,1,1,0,120.56,0,3,3,0,0.309974918933503,31.0,Medium Risk,Previous fraud history,Additional Verification
TXN000023,M0258,C001862,2026-01-01 03:40:00,342.12,UPI,Desktop,Mumbai,1650,7,0,0,57.27,0,3,3,0,0.2509897981688299,25.1,Low Risk,No major suspicious indicators detected,Approve
TXN000024,M0344,C004853,2026-01-01 03:50:00,574.13,UPI,Mobile,Kolkata,2496,5,0,0,36.39,0,3,3,0,0.2886778272183404,28.87,Low Risk,No major suspicious indicators detected,Approve
TXN000025,M0492,C000031,2026-01-01 04:00:00,273.35,Credit Card,Desktop,Pune,2255,9,0,0,84.71,0,4,3,0,0.4726562017338091,47.27,Medium Risk,Unusually high transaction frequency,Additional Verification
TXN000026,M0414,C000243,2026-01-01 04:10:00,442.52,Credit Card,Mobile,Mumbai,2399,4,0,0,7.01,0,4,3,0,0.23642990843469544,23.64,Low Risk,No major suspicious indicators detected,Approve
TXN000027,M0294,C006919,2026-01-01 04:20:00,567.55,Debit Card,Mobile,Hyderabad,2031,7,0,0,148.48,0,4,3,0,0.23341082127086318,23.34,Low Risk,No major suspicious indicators detected,Approve
TXN000028,M0386,C009691,2026-01-01 04:30:00,1845.72,UPI,Tablet,Hyderabad,1237,1,0,0,76.98,0,4,3,0,0.21548765498411365,21.55,Low Risk,No major suspicious indicators detected,Approve
TXN000029,M0192,C005512,2026-01-01 04:40:00,170.07,Debit Card,Mobile,Pune,459,3,0,0,5.15,0,4,3,0,0.21476301462472117,21.48,Low Risk,No major suspicious indicators detected,Approve
TXN000030,M0444,C005509,2026-01-01 04:50:00,614.1,UPI,Desktop,Other,1019,3,0,0,20.72,0,4,3,0,0.2449857806613003,24.5,Low Risk,No major suspicious indicators detected,Approve
TXN000031,M0277,C004669,2026-01-01 05:00:00,220.49,UPI,Mobile,Bangalore,1374,5,0,1,181.15,0,5,3,0,0.4081453219656826,40.81,Medium Risk,New device detected,Additional Verification
TXN000032,M0161,C006088,2026-01-01 05:10:00,867.87,Credit Card,Mobile,Bangalore,156,4,0,0,8.62,0,5,3,0,0.2205396804370283,22.05,Low Risk,No major suspicious indicators detected,Approve
TXN000033,M0460,C007016,2026-01-01 05:20:00,939.64,Debit Card,Mobile,Other,1993,7,0,0,11.13,0,5,3,0,0.2860958184191895,28.61,Low Risk,No major suspicious indicators detected,Approve
TXN000034,M0314,C007637,2026-01-01 05:30:00,2159.13,UPI,Desktop,Bangalore,655,7,0,1,94.93,0,5,3,0,0.4105965296381237,41.06,Medium Risk,New device detected,Additional Verification
TXN000035,M0022,C006663,2026-01-01 05:40:00,263.57,UPI,Mobile,Kolkata,659,2,0,0,5.44,0,5,3,0,0.31479865823640557,31.48,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000036,M0253,C004004,2026-01-01 05:50:00,466.64,Credit Card,Mobile,Mumbai,1204,6,0,0,9.33,0,5,3,0,0.24991622272115038,24.99,Low Risk,No major suspicious indicators detected,Approve
TXN000037,M0236,C009852,2026-01-01 06:00:00,901.5,UPI,Mobile,Kolkata,1684,3,0,0,86.7,0,6,3,0,0.2961108898307276,29.61,Low Risk,No major suspicious indicators detected,Approve
TXN000038,M0345,C000599,2026-01-01 06:10:00,779.49,UPI,Tablet,Mumbai,1086,5,0,0,18.34,0,6,3,0,0.2541067615841616,25.41,Low Risk,No major suspicious indicators detected,Approve
TXN000039,M0049,C002196,2026-01-01 06:20:00,33.52,Credit Card,Mobile,Other,2288,3,0,0,164.29,0,6,3,0,0.20008834401222061,20.01,Low Risk,No major suspicious indicators detected,Approve
TXN000040,M0475,C000070,2026-01-01 06:30:00,202.87,UPI,Desktop,Kolkata,1182,3,0,0,7.06,0,6,3,0,0.2690245389338916,26.9,Low Risk,No major suspicious indicators detected,Approve
TXN000041,M0059,C008140,2026-01-01 06:40:00,713.45,UPI,Mobile,Pune,813,7,0,1,4.21,0,6,3,0,0.4240838654320793,42.41,Medium Risk,New device detected,Additional Verification
TXN000042,M0170,C009586,2026-01-01 06:50:00,327.08,Credit Card,Desktop,Mumbai,2356,29,0,0,14.63,0,6,3,0,0.5825032384741318,58.25,Medium Risk,Unusually high transaction frequency,Additional Verification
TXN000043,M0476,C003660,2026-01-01 07:00:00,908.19,UPI,Desktop,Kolkata,1967,2,0,0,4.72,1,7,3,0,0.5097270775590095,50.97,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000044,M0188,C009842,2026-01-01 07:10:00,1143.76,Credit Card,Desktop,Mumbai,1649,3,0,0,23.73,0,7,3,0,0.25897322908436204,25.9,Low Risk,No major suspicious indicators detected,Approve
TXN000045,M0464,C005635,2026-01-01 07:20:00,325.87,Debit Card,Mobile,Pune,1005,3,0,0,54.85,0,7,3,0,0.18043125623233094,18.04,Low Risk,No major suspicious indicators detected,Approve
TXN000046,M0271,C002282,2026-01-01 07:30:00,735.7,Credit Card,Mobile,Hyderabad,2199,1,0,1,24.29,0,7,3,0,0.45701173822251073,45.7,Medium Risk,New device detected,Additional Verification
TXN000047,M0190,C006823,2026-01-01 07:40:00,1730.46,Credit Card,Mobile,Other,12,13,0,0,39.42,0,7,3,0,0.45510661254001955,45.51,Medium Risk,Unusually high transaction frequency; Very new account,Additional Verification
TXN000048,M0446,C003683,2026-01-01 07:50:00,1117.11,UPI,Mobile,Mumbai,310,5,1,0,19.2,0,7,3,0,0.4295347119158933,42.95,Medium Risk,Previous fraud history,Additional Verification
TXN000049,M0175,C002684,2026-01-01 08:00:00,186.67,UPI,Tablet,Chennai,1863,3,0,0,16.62,0,8,3,0,0.29365400141097747,29.37,Low Risk,No major suspicious indicators detected,Approve
TXN000050,M0446,C004563,2026-01-01 08:10:00,335.25,UPI,Tablet,Mumbai,616,6,0,0,21.3,0,8,3,0,0.2542224674755749,25.42,Low Risk,No major suspicious indicators detected,Approve
TXN000051,M0051,C004653,2026-01-01 08:20:00,414.67,Credit Card,Mobile,Mumbai,871,5,0,0,47.51,0,8,3,0,0.23095707551142677,23.1,Low Risk,No major suspicious indicators detected,Approve
TXN000052,M0364,C004932,2026-01-01 08:30:00,158.34,UPI,Desktop,Hyderabad,1889,3,1,0,133.05,0,8,3,0,0.3975376445060822,39.75,Medium Risk,Previous fraud history,Additional Verification
TXN000053,M0055,C009503,2026-01-01 08:40:00,1176.14,Debit Card,Mobile,Pune,1506,7,0,1,49.01,0,8,3,0,0.5066412629926398,50.66,Medium Risk,New device detected,Additional Verification
TXN000054,M0244,C004714,2026-01-01 08:50:00,211.67,UPI,Desktop,Delhi,1868,5,1,0,31.74,0,8,3,0,0.4876058112317213,48.76,Medium Risk,Previous fraud history,Additional Verification
TXN000055,M0320,C005414,2026-01-01 09:00:00,364.52,Net Banking,Mobile,Delhi,932,3,0,0,67.53,0,9,3,0,0.3308315858611539,33.08,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000056,M0131,C005601,2026-01-01 09:10:00,1178.31,UPI,Desktop,Pune,707,5,0,1,1.86,0,9,3,0,0.48303856953025776,48.3,Medium Risk,New device detected,Additional Verification
TXN000057,M0485,C004104,2026-01-01 09:20:00,256.98,Credit Card,Mobile,Hyderabad,1937,4,0,0,30.42,0,9,3,0,0.28238065802888446,28.24,Low Risk,No major suspicious indicators detected,Approve
TXN000058,M0307,C002076,2026-01-01 09:30:00,288.12,Credit Card,Desktop,Other,487,3,0,1,9.05,0,9,3,0,0.4927094895598743,49.27,Medium Risk,New device detected,Additional Verification
TXN000059,M0135,C000783,2026-01-01 09:40:00,565.69,Debit Card,Mobile,Kolkata,1651,2,1,1,5.16,1,9,3,0,0.8231344562548251,82.31,High Risk,New device detected; Previous fraud history,Block / Manual Review
TXN000060,M0021,C003807,2026-01-01 09:50:00,268.03,Credit Card,Mobile,Mumbai,856,6,0,0,105.93,0,9,3,0,0.24623630646135056,24.62,Low Risk,No major suspicious indicators detected,Approve
TXN000061,M0329,C009526,2026-01-01 10:00:00,1867.98,UPI,Mobile,Chennai,1397,6,0,0,10.35,0,10,3,0,0.3005909343691939,30.06,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000062,M0167,C001058,2026-01-01 10:10:00,161.51,Credit Card,Mobile,Other,1381,5,0,0,233.29,0,10,3,0,0.28518042358192086,28.52,Low Risk,Unusual location distance,Approve
TXN000063,M0274,C002055,2026-01-01 10:20:00,40.66,UPI,Desktop,Bangalore,975,3,0,0,20.47,0,10,3,0,0.28982903377759983,28.98,Low Risk,No major suspicious indicators detected,Approve
TXN000064,M0388,C002110,2026-01-01 10:30:00,937.29,UPI,Tablet,Chennai,166,2,0,0,127.09,0,10,3,0,0.24801926491538212,24.8,Low Risk,No major suspicious indicators detected,Approve
TXN000065,M0089,C007284,2026-01-01 10:40:00,282.15,Credit Card,Mobile,Other,2359,4,0,0,7.1,0,10,3,0,0.2555565797945827,25.56,Low Risk,No major suspicious indicators detected,Approve
TXN000066,M0316,C001321,2026-01-01 10:50:00,179.89,UPI,Mobile,Chennai,346,5,0,0,125.09,0,10,3,0,0.2654612089754221,26.55,Low Risk,No major suspicious indicators detected,Approve
TXN000067,M0014,C007850,2026-01-01 11:00:00,592.24,UPI,Mobile,Mumbai,1403,6,0,0,18.65,0,11,3,0,0.34475933935992265,34.48,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000068,M0242,C004418,2026-01-01 11:10:00,613.63,Net Banking,Mobile,Kolkata,1406,1,0,1,24.21,0,11,3,0,0.4084788463468551,40.85,Medium Risk,New device detected,Additional Verification
TXN000069,M0265,C003700,2026-01-01 11:20:00,188.32,Wallet,Mobile,Chennai,1669,1,1,0,33.3,0,11,3,0,0.43866642703452974,43.87,Medium Risk,Previous fraud history,Additional Verification
TXN000070,M0346,C000733,2026-01-01 11:30:00,1321.98,Credit Card,Desktop,Delhi,849,1,1,0,32.8,0,11,3,0,0.3895230766151373,38.95,Medium Risk,Previous fraud history,Additional Verification
TXN000071,M0053,C006563,2026-01-01 11:40:00,955.16,UPI,Mobile,Mumbai,1755,4,0,0,34.58,0,11,3,0,0.39790000051946856,39.79,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000072,M0386,C003550,2026-01-01 11:50:00,2906.12,UPI,Mobile,Pune,900,5,0,0,77.67,0,11,3,0,0.28824167808537343,28.82,Low Risk,No major suspicious indicators detected,Approve
TXN000073,M0340,C006164,2026-01-01 12:00:00,255.03,UPI,Mobile,Delhi,2182,5,0,0,22.5,0,12,3,0,0.36875342742634404,36.88,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000074,M0092,C006556,2026-01-01 12:10:00,471.66,UPI,Desktop,Bangalore,2170,10,0,0,88.77,0,12,3,0,0.44922524175278,44.92,Medium Risk,Unusually high transaction frequency,Additional Verification
TXN000075,M0367,C005379,2026-01-01 12:20:00,509.45,Debit Card,Mobile,Delhi,2392,6,0,1,0.56,0,12,3,0,0.3480561452922092,34.81,Medium Risk,New device detected,Additional Verification
TXN000076,M0444,C008797,2026-01-01 12:30:00,290.92,UPI,Mobile,Mumbai,17,6,0,0,32.07,0,12,3,0,0.24730372671037718,24.73,Low Risk,Very new account,Approve
TXN000077,M0455,C001723,2026-01-01 12:40:00,603.79,UPI,Mobile,Other,581,5,0,0,77.82,0,12,3,0,0.325893500422575,32.59,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000078,M0428,C002813,2026-01-01 12:50:00,650.94,Wallet,Mobile,Hyderabad,2255,5,1,0,0.8,0,12,3,0,0.42381628194321397,42.38,Medium Risk,Previous fraud history,Additional Verification
TXN000079,M0264,C009774,2026-01-01 13:00:00,651.24,Credit Card,Mobile,Mumbai,333,4,0,0,62.46,0,13,3,0,0.2701215132960895,27.01,Low Risk,No major suspicious indicators detected,Approve
TXN000080,M0431,C007538,2026-01-01 13:10:00,291.05,Net Banking,Desktop,Pune,840,8,0,0,11.51,0,13,3,0,0.46950169761563604,46.95,Medium Risk,Unusually high transaction frequency,Additional Verification
TXN000081,M0035,C002279,2026-01-01 13:20:00,327.23,UPI,Mobile,Kolkata,1480,2,0,0,75.51,0,13,3,0,0.3366496692312835,33.66,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000082,M0206,C002351,2026-01-01 13:30:00,228.81,Credit Card,Mobile,Hyderabad,348,6,1,0,92.03,0,13,3,0,0.4826760525200267,48.27,Medium Risk,Previous fraud history,Additional Verification
TXN000083,M0081,C003624,2026-01-01 13:40:00,190.41,UPI,Mobile,Bangalore,434,2,0,0,115.21,0,13,3,0,0.2936948899190664,29.37,Low Risk,No major suspicious indicators detected,Approve
TXN000084,M0420,C006531,2026-01-01 13:50:00,378.44,UPI,Mobile,Other,93,3,0,0,13.48,0,13,3,0,0.3101733212792053,31.02,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000085,M0050,C000715,2026-01-01 14:00:00,1838.18,UPI,Mobile,Mumbai,1611,4,0,0,40.4,1,14,3,0,0.4834121432780813,48.34,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000086,M0360,C000925,2026-01-01 14:10:00,3099.66,UPI,Tablet,Mumbai,2,4,0,0,42.73,0,14,3,0,0.31371455753707883,31.37,Medium Risk,Very new account,Additional Verification
TXN000087,M0388,C003163,2026-01-01 14:20:00,1500.96,UPI,Mobile,Kolkata,2355,12,0,0,27.48,0,14,3,0,0.3414352898234765,34.14,Medium Risk,Unusually high transaction frequency,Additional Verification
TXN000088,M0002,C004154,2026-01-01 14:30:00,253.69,UPI,Mobile,Hyderabad,638,3,0,0,42.32,0,14,3,0,0.35538234556535553,35.54,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000089,M0390,C004530,2026-01-01 14:40:00,606.48,Wallet,Mobile,Hyderabad,2458,5,0,0,54.32,0,14,3,0,0.26303908808330273,26.3,Low Risk,No major suspicious indicators detected,Approve
TXN000090,M0054,C002570,2026-01-01 14:50:00,52.1,UPI,Mobile,Mumbai,1129,6,0,0,78.5,0,14,3,0,0.32294277652614334,32.29,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000091,M0106,C002816,2026-01-01 15:00:00,345.5,Wallet,Mobile,Bangalore,1190,5,1,0,29.97,0,15,3,0,0.4126582070627586,41.27,Medium Risk,Previous fraud history,Additional Verification
TXN000092,M0260,C006973,2026-01-01 15:10:00,273.54,UPI,Mobile,Other,2383,1,0,0,2.84,0,15,3,0,0.31880738363220973,31.88,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000093,M0310,C004579,2026-01-01 15:20:00,2628.94,Credit Card,Desktop,Chennai,2057,6,0,0,134.04,0,15,3,0,0.22704405904482822,22.7,Low Risk,No major suspicious indicators detected,Approve
TXN000094,M0477,C004463,2026-01-01 15:30:00,523.43,UPI,Mobile,Bangalore,336,4,0,0,69.41,0,15,3,0,0.30217610687867513,30.22,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000095,M0191,C000889,2026-01-01 15:40:00,424.42,UPI,Mobile,Delhi,2176,2,0,0,23.42,0,15,3,0,0.34955509190070255,34.96,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000096,M0402,C005949,2026-01-01 15:50:00,376.74,UPI,Mobile,Other,430,2,0,0,34.51,0,15,3,0,0.3292387085842522,32.92,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000097,M0218,C003479,2026-01-01 16:00:00,301.61,Credit Card,Mobile,Other,2086,21,0,1,57.89,0,16,3,0,0.7693628558696427,76.94,High Risk,New device detected; Unusually high transaction frequency,Block / Manual Review
TXN000098,M0044,C003590,2026-01-01 16:10:00,686.47,Credit Card,Mobile,Mumbai,1665,5,0,0,196.79,0,16,3,0,0.2952266339160405,29.52,Low Risk,No major suspicious indicators detected,Approve
TXN000099,M0162,C001724,2026-01-01 16:20:00,208.01,Credit Card,Mobile,Other,1740,2,0,0,81.46,0,16,3,0,0.2849317537664541,28.49,Low Risk,No major suspicious indicators detected,Approve
TXN000100,M0202,C001259,2026-01-01 16:30:00,699.15,Credit Card,Mobile,Mumbai,501,3,0,0,33.32,0,16,3,0,0.3137027790047572,31.37,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000101,M0446,C007027,2026-01-01 16:40:00,1688.77,UPI,Mobile,Pune,627,2,0,0,6.71,0,16,3,0,0.3124133057843883,31.24,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000102,M0484,C008603,2026-01-01 16:50:00,451.53,Debit Card,Mobile,Chennai,2382,4,0,0,5.23,0,16,3,0,0.33643411644801563,33.64,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000103,M0270,C002231,2026-01-01 17:00:00,294.61,Credit Card,Desktop,Pune,639,3,1,0,24.23,0,17,3,0,0.37670793976888955,37.67,Medium Risk,Previous fraud history,Additional Verification
TXN000104,M0351,C007455,2026-01-01 17:10:00,374.16,UPI,Desktop,Hyderabad,1731,6,0,0,27.67,0,17,3,0,0.3547328603868443,35.47,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000105,M0304,C002061,2026-01-01 17:20:00,1340.35,UPI,Mobile,Kolkata,566,5,0,0,75.53,0,17,3,0,0.33085651294919466,33.09,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000106,M0271,C003899,2026-01-01 17:30:00,463.69,Credit Card,Desktop,Bangalore,1865,2,0,1,3.9,0,17,3,0,0.44674720762901254,44.67,Medium Risk,New device detected,Additional Verification
TXN000107,M0456,C002614,2026-01-01 17:40:00,219.35,UPI,Mobile,Other,1258,3,1,0,67.63,0,17,3,0,0.4923152859666598,49.23,Medium Risk,Previous fraud history,Additional Verification
TXN000108,M0462,C007016,2026-01-01 17:50:00,905.65,Credit Card,Mobile,Kolkata,1685,5,0,0,22.72,0,17,3,0,0.3041872896209764,30.42,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000109,M0215,C006699,2026-01-01 18:00:00,198.21,UPI,Mobile,Hyderabad,376,4,0,0,67.21,0,18,3,0,0.32639759290191334,32.64,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000110,M0252,C001803,2026-01-01 18:10:00,319.44,UPI,Desktop,Pune,1522,4,0,1,22.96,0,18,3,0,0.5539283507582423,55.39,Medium Risk,New device detected,Additional Verification
TXN000111,M0190,C000678,2026-01-01 18:20:00,507.33,Debit Card,Mobile,Delhi,195,7,1,0,68.89,1,18,3,0,0.6507255416299577,65.07,Medium Risk,Previous fraud history,Additional Verification
TXN000112,M0296,C008088,2026-01-01 18:30:00,180.0,Credit Card,Mobile,Other,2439,2,0,1,92.68,0,18,3,0,0.48432775070689954,48.43,Medium Risk,New device detected,Additional Verification
TXN000113,M0213,C004714,2026-01-01 18:40:00,67.6,UPI,Mobile,Bangalore,824,5,0,0,78.52,0,18,3,0,0.26968431964334255,26.97,Low Risk,No major suspicious indicators detected,Approve
TXN000114,M0208,C007731,2026-01-01 18:50:00,632.35,Credit Card,Desktop,Other,2263,5,0,0,69.99,0,18,3,0,0.24794056988684526,24.79,Low Risk,No major suspicious indicators detected,Approve
TXN000115,M0237,C003005,2026-01-01 19:00:00,45.07,UPI,Mobile,Kolkata,2152,8,0,0,143.5,0,19,3,0,0.22329329061635333,22.33,Low Risk,Unusually high transaction frequency,Approve
TXN000116,M0338,C008987,2026-01-01 19:10:00,159.72,Wallet,Tablet,Pune,624,2,0,0,19.3,0,19,3,0,0.2580480872914941,25.8,Low Risk,No major suspicious indicators detected,Approve
TXN000117,M0367,C000729,2026-01-01 19:20:00,878.47,Credit Card,Mobile,Other,1763,4,0,0,6.01,0,19,3,0,0.27584671387137805,27.58,Low Risk,No major suspicious indicators detected,Approve
TXN000118,M0053,C009886,2026-01-01 19:30:00,613.51,UPI,Mobile,Chennai,1428,5,0,0,36.19,0,19,3,0,0.3401314192554632,34.01,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000119,M0280,C004735,2026-01-01 19:40:00,344.49,Credit Card,Mobile,Mumbai,1889,3,0,0,29.17,0,19,3,0,0.3364009199251751,33.64,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000120,M0410,C000191,2026-01-01 19:50:00,164.76,UPI,Mobile,Other,616,3,0,0,44.49,0,19,3,0,0.3217699055344496,32.18,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000121,M0217,C004995,2026-01-01 20:00:00,262.17,Credit Card,Mobile,Pune,804,3,0,0,1.1,0,20,3,0,0.2809309835502512,28.09,Low Risk,No major suspicious indicators detected,Approve
TXN000122,M0252,C003867,2026-01-01 20:10:00,718.01,Credit Card,Desktop,Mumbai,91,2,0,0,36.41,0,20,3,0,0.22850280846381285,22.85,Low Risk,No major suspicious indicators detected,Approve
TXN000123,M0188,C009682,2026-01-01 20:20:00,353.41,Credit Card,Mobile,Other,1115,5,1,0,149.19,0,20,3,0,0.27955584852577026,27.96,Low Risk,Previous fraud history,Approve
TXN000124,M0380,C006040,2026-01-01 20:30:00,117.31,Credit Card,Mobile,Other,480,8,0,0,11.25,0,20,3,0,0.5196555610357617,51.97,Medium Risk,Unusually high transaction frequency,Additional Verification
TXN000125,M0493,C006446,2026-01-01 20:40:00,167.35,UPI,Mobile,Chennai,1033,3,0,0,2.88,0,20,3,0,0.30822064238059055,30.82,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000126,M0041,C008830,2026-01-01 20:50:00,261.22,UPI,Mobile,Delhi,910,6,0,0,8.65,0,20,3,0,0.3071431291245031,30.71,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000127,M0157,C004046,2026-01-01 21:00:00,582.3,UPI,Desktop,Chennai,1050,7,0,0,24.6,0,21,3,0,0.2674190512529747,26.74,Low Risk,No major suspicious indicators detected,Approve
TXN000128,M0015,C006316,2026-01-01 21:10:00,447.9,Net Banking,Mobile,Kolkata,919,1,0,0,45.91,0,21,3,0,0.29358600838576443,29.36,Low Risk,No major suspicious indicators detected,Approve
TXN000129,M0301,C005625,2026-01-01 21:20:00,115.99,UPI,Mobile,Pune,636,3,0,1,24.82,0,21,3,0,0.5422048107436813,54.22,Medium Risk,New device detected,Additional Verification
TXN000130,M0065,C004159,2026-01-01 21:30:00,1551.62,Net Banking,Mobile,Other,1054,4,0,0,56.41,0,21,3,0,0.27456626773355314,27.46,Low Risk,No major suspicious indicators detected,Approve
TXN000131,M0345,C004112,2026-01-01 21:40:00,191.92,Credit Card,Mobile,Bangalore,1541,4,0,1,13.93,0,21,3,0,0.4863473784105222,48.63,Medium Risk,New device detected,Additional Verification
TXN000132,M0327,C006835,2026-01-01 21:50:00,627.06,Debit Card,Mobile,Delhi,2477,4,0,0,58.67,0,21,3,0,0.3593856285182744,35.94,Medium Risk,No major suspicious indicators detected,Additional Verification
TXN000133,M0009,C009034,2026-01-01 22:00:00,156.43,UPI,Desktop,Other,2286,3,0,0,53.29,0,22,3,0,0.22931371560093058,22.93,Low Risk,No major suspicious indicators detected,Approve
TXN000134,M0344,C003952,2026-01-01 22:10:00,4826.76,Net Banking,Desktop,Other,2376,2,0,0,204.3,0,22,3,0,0.16384914048487897,16.38,Low Risk,Unusual location distance,Approve
